run_id,dataset,chunk_config,chunk_strategy,chunk_size,overlap,embedding,retrieval_config,retrieval_mode,top_k,candidate_k,lexical_weight,source_boost,article_boost,questions,source_hit_rate,question_law_hit_rate,article_hit_rate,chunk_hit_rate,all_phrase_hit_rate,phrase_hit_rate,context_relevance_mean,results_jsonl,score
retrieval_quick_01,citation,legal-1800-o150,legal,1800,150,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,hybrid-k3-c200-l040-s025-a060,hybrid,3,200,0.4,0.25,0.6,30,1.0,1.0,0.9333333333333333,0.9333333333333333,0.8,0.8777777777777778,1.9333333333333333,experiments/retrieval/retrieval_quick_01/logs/citation__legal-1800-o150__sentence-transformers-paraphrase-multilingual-mpnet-base-v2__hybrid-k3-c200-l040-s025-a060.jsonl,0.9133333333333333
retrieval_quick_01,citation,legal-1800-o150,legal,1800,150,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,hybrid-k3-c200-l040-s025-a060,hybrid,3,200,0.4,0.25,0.6,30,1.0,1.0,0.8666666666666667,0.8333333333333334,0.7333333333333333,0.8,1.8666666666666667,experiments/retrieval/retrieval_quick_01/logs/citation__legal-1800-o150__sentence-transformers-paraphrase-multilingual-minilm-l12-v2__hybrid-k3-c200-l040-s025-a060.jsonl,0.8566666666666667
retrieval_quick_01,natural,legal-1800-o150,legal,1800,150,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,hybrid-k3-c200-l040-s025-a060,hybrid,3,200,0.4,0.25,0.6,30,0.9666666666666667,1.0,0.8666666666666667,0.7666666666666667,0.5333333333333333,0.6277777777777778,1.8333333333333333,experiments/retrieval/retrieval_quick_01/logs/natural__legal-1800-o150__sentence-transformers-paraphrase-multilingual-mpnet-base-v2__hybrid-k3-c200-l040-s025-a060.jsonl,0.7933333333333333
retrieval_quick_01,natural,legal-1800-o150,legal,1800,150,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,hybrid-k3-c200-l040-s025-a060,hybrid,3,200,0.4,0.25,0.6,30,0.9666666666666667,1.0,0.8333333333333334,0.7333333333333333,0.5333333333333333,0.6277777777777778,1.8,experiments/retrieval/retrieval_quick_01/logs/natural__legal-1800-o150__sentence-transformers-paraphrase-multilingual-minilm-l12-v2__hybrid-k3-c200-l040-s025-a060.jsonl,0.7750000000000001
retrieval_quick_01,citation,legal-1800-o150,legal,1800,150,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,dense-k3,dense,3,30,0.0,0.0,0.0,30,0.9666666666666667,0.9666666666666667,0.6,0.5333333333333333,0.4666666666666667,0.5111111111111112,1.5666666666666667,experiments/retrieval/retrieval_quick_01/logs/citation__legal-1800-o150__sentence-transformers-paraphrase-multilingual-mpnet-base-v2__dense-k3.jsonl,0.6333333333333333
retrieval_quick_01,natural,legal-1800-o150,legal,1800,150,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,dense-k3,dense,3,30,0.0,0.0,0.0,30,0.8666666666666667,1.0,0.6,0.5,0.3333333333333333,0.41111111111111115,1.4666666666666666,experiments/retrieval/retrieval_quick_01/logs/natural__legal-1800-o150__sentence-transformers-paraphrase-multilingual-mpnet-base-v2__dense-k3.jsonl,0.5766666666666667
retrieval_quick_01,natural,legal-1800-o150,legal,1800,150,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,dense-k3,dense,3,30,0.0,0.0,0.0,30,0.9,1.0,0.5333333333333333,0.43333333333333335,0.26666666666666666,0.3611111111111111,1.4333333333333333,experiments/retrieval/retrieval_quick_01/logs/natural__legal-1800-o150__sentence-transformers-paraphrase-multilingual-minilm-l12-v2__dense-k3.jsonl,0.5299999999999999
retrieval_quick_01,citation,fixed-1200-o200,fixed,1200,200,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,hybrid-k3-c200-l040-s025-a060,hybrid,3,200,0.4,0.25,0.6,30,0.9666666666666667,1.0,0.23333333333333334,0.0,0.4,0.4222222222222222,1.4333333333333333,experiments/retrieval/retrieval_quick_01/logs/citation__fixed-1200-o200__sentence-transformers-paraphrase-multilingual-mpnet-base-v2__hybrid-k3-c200-l040-s025-a060.jsonl,0.4216666666666667
retrieval_quick_01,citation,legal-1800-o150,legal,1800,150,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,dense-k3,dense,3,30,0.0,0.0,0.0,30,0.8333333333333334,0.9333333333333333,0.3333333333333333,0.3,0.23333333333333334,0.27777777777777773,1.1666666666666667,experiments/retrieval/retrieval_quick_01/logs/citation__legal-1800-o150__sentence-transformers-paraphrase-multilingual-minilm-l12-v2__dense-k3.jsonl,0.405
retrieval_quick_01,citation,fixed-1200-o200,fixed,1200,200,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,hybrid-k3-c200-l040-s025-a060,hybrid,3,200,0.4,0.25,0.6,30,0.9666666666666667,1.0,0.16666666666666666,0.0,0.3333333333333333,0.35555555555555557,1.3333333333333333,experiments/retrieval/retrieval_quick_01/logs/citation__fixed-1200-o200__sentence-transformers-paraphrase-multilingual-minilm-l12-v2__hybrid-k3-c200-l040-s025-a060.jsonl,0.3716666666666667
retrieval_quick_01,natural,fixed-1200-o200,fixed,1200,200,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,hybrid-k3-c200-l040-s025-a060,hybrid,3,200,0.4,0.25,0.6,30,0.9,1.0,0.2,0.0,0.3,0.3833333333333334,1.2666666666666666,experiments/retrieval/retrieval_quick_01/logs/natural__fixed-1200-o200__sentence-transformers-paraphrase-multilingual-mpnet-base-v2__hybrid-k3-c200-l040-s025-a060.jsonl,0.3616666666666667
retrieval_quick_01,natural,fixed-1200-o200,fixed,1200,200,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,hybrid-k3-c200-l040-s025-a060,hybrid,3,200,0.4,0.25,0.6,30,0.8666666666666667,1.0,0.16666666666666666,0.0,0.26666666666666666,0.38333333333333336,1.2333333333333334,experiments/retrieval/retrieval_quick_01/logs/natural__fixed-1200-o200__sentence-transformers-paraphrase-multilingual-minilm-l12-v2__hybrid-k3-c200-l040-s025-a060.jsonl,0.335
retrieval_quick_01,natural,fixed-1200-o200,fixed,1200,200,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,dense-k3,dense,3,30,0.0,0.0,0.0,30,0.8333333333333334,1.0,0.06666666666666667,0.0,0.13333333333333333,0.16666666666666666,1.0333333333333334,experiments/retrieval/retrieval_quick_01/logs/natural__fixed-1200-o200__sentence-transformers-paraphrase-multilingual-minilm-l12-v2__dense-k3.jsonl,0.24333333333333335
retrieval_quick_01,natural,fixed-1200-o200,fixed,1200,200,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,dense-k3,dense,3,30,0.0,0.0,0.0,30,0.8333333333333334,1.0,0.06666666666666667,0.0,0.1,0.11666666666666667,0.9666666666666667,experiments/retrieval/retrieval_quick_01/logs/natural__fixed-1200-o200__sentence-transformers-paraphrase-multilingual-mpnet-base-v2__dense-k3.jsonl,0.22833333333333336
retrieval_quick_01,citation,fixed-1200-o200,fixed,1200,200,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,dense-k3,dense,3,30,0.0,0.0,0.0,30,0.6666666666666666,0.8333333333333334,0.06666666666666667,0.0,0.1,0.1,0.7666666666666667,experiments/retrieval/retrieval_quick_01/logs/citation__fixed-1200-o200__sentence-transformers-paraphrase-multilingual-mpnet-base-v2__dense-k3.jsonl,0.19166666666666665
retrieval_quick_01,citation,fixed-1200-o200,fixed,1200,200,sentence-transformers/paraphrase-multilingual-MiniLM-L12-v2,dense-k3,dense,3,30,0.0,0.0,0.0,30,0.6,0.7333333333333333,0.06666666666666667,0.0,0.1,0.1,0.7,experiments/retrieval/retrieval_quick_01/logs/citation__fixed-1200-o200__sentence-transformers-paraphrase-multilingual-minilm-l12-v2__dense-k3.jsonl,0.17833333333333332
