run_id,dataset,chunk_config,chunk_strategy,chunk_size,overlap,embedding,retrieval_config,retrieval_mode,top_k,candidate_k,lexical_weight,source_boost,article_boost,title_weight,questions,source_hit_rate,question_law_hit_rate,article_hit_rate,chunk_hit_rate,all_phrase_hit_rate,phrase_hit_rate,context_relevance_mean,results_jsonl,score
four_dataset_medium_mig_01,citation,legal-1800-o150,legal,1800,150,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,hybrid-title-k8-c300-l045-t040-s030-a070,hybrid,8,300,0.45,0.3,0.7,0.4,30,1.0,1.0,1.0,1.0,0.8666666666666667,0.9444444444444444,2.0,experiments/retrieval/four_dataset_medium_mig_01/logs/citation__legal-1800-o150__sentence-transformers-paraphrase-multilingual-mpnet-base-v2__hybrid-title-k8-c300-l045-t040-s030-a070.jsonl,0.9666666666666666
four_dataset_medium_mig_01,citation,legal-1800-o150,legal,1800,150,intfloat/multilingual-e5-base,hybrid-title-k8-c300-l045-t040-s030-a070,hybrid,8,300,0.45,0.3,0.7,0.4,30,1.0,1.0,1.0,1.0,0.8666666666666667,0.9444444444444444,2.0,experiments/retrieval/four_dataset_medium_mig_01/logs/citation__legal-1800-o150__intfloat-multilingual-e5-base__hybrid-title-k8-c300-l045-t040-s030-a070.jsonl,0.9666666666666666
four_dataset_medium_mig_01,citation,legal-1800-o150,legal,1800,150,BAAI/bge-m3,hybrid-title-k3-c200-l035-t030-s025-a060,hybrid,3,200,0.35,0.25,0.6,0.3,30,1.0,1.0,1.0,1.0,0.8666666666666667,0.9444444444444444,2.0,experiments/retrieval/four_dataset_medium_mig_01/logs/citation__legal-1800-o150__baai-bge-m3__hybrid-title-k3-c200-l035-t030-s025-a060.jsonl,0.9666666666666666
four_dataset_medium_mig_01,citation,legal-1800-o150,legal,1800,150,BAAI/bge-m3,hybrid-title-k5-c250-l040-t035-s025-a060,hybrid,5,250,0.4,0.25,0.6,0.35,30,1.0,1.0,1.0,1.0,0.8666666666666667,0.9444444444444444,2.0,experiments/retrieval/four_dataset_medium_mig_01/logs/citation__legal-1800-o150__baai-bge-m3__hybrid-title-k5-c250-l040-t035-s025-a060.jsonl,0.9666666666666666
four_dataset_medium_mig_01,citation,legal-1800-o150,legal,1800,150,BAAI/bge-m3,hybrid-title-k8-c300-l045-t040-s030-a070,hybrid,8,300,0.45,0.3,0.7,0.4,30,1.0,1.0,1.0,1.0,0.8666666666666667,0.9444444444444444,2.0,experiments/retrieval/four_dataset_medium_mig_01/logs/citation__legal-1800-o150__baai-bge-m3__hybrid-title-k8-c300-l045-t040-s030-a070.jsonl,0.9666666666666666
four_dataset_medium_mig_01,citation,legal-1800-o150,legal,1800,150,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,hybrid-title-k5-c250-l040-t035-s025-a060,hybrid,5,250,0.4,0.25,0.6,0.35,30,1.0,1.0,0.9666666666666667,0.9666666666666667,0.8333333333333334,0.9111111111111111,1.9666666666666666,experiments/retrieval/four_dataset_medium_mig_01/logs/citation__legal-1800-o150__sentence-transformers-paraphrase-multilingual-mpnet-base-v2__hybrid-title-k5-c250-l040-t035-s025-a060.jsonl,0.94
four_dataset_medium_mig_01,citation,legal-1800-o150,legal,1800,150,intfloat/multilingual-e5-base,hybrid-title-k3-c200-l035-t030-s025-a060,hybrid,3,200,0.35,0.25,0.6,0.3,30,1.0,1.0,0.9666666666666667,0.9666666666666667,0.8333333333333334,0.9111111111111111,1.9666666666666666,experiments/retrieval/four_dataset_medium_mig_01/logs/citation__legal-1800-o150__intfloat-multilingual-e5-base__hybrid-title-k3-c200-l035-t030-s025-a060.jsonl,0.94
four_dataset_medium_mig_01,citation,legal-1800-o150,legal,1800,150,intfloat/multilingual-e5-base,hybrid-title-k5-c250-l040-t035-s025-a060,hybrid,5,250,0.4,0.25,0.6,0.35,30,1.0,1.0,0.9666666666666667,0.9666666666666667,0.8333333333333334,0.9111111111111111,1.9666666666666666,experiments/retrieval/four_dataset_medium_mig_01/logs/citation__legal-1800-o150__intfloat-multilingual-e5-base__hybrid-title-k5-c250-l040-t035-s025-a060.jsonl,0.94
four_dataset_medium_mig_01,citation,legal-1800-o150,legal,1800,150,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,hybrid-title-k3-c200-l035-t030-s025-a060,hybrid,3,200,0.35,0.25,0.6,0.3,30,1.0,1.0,0.9333333333333333,0.9333333333333333,0.8,0.8777777777777778,1.9333333333333333,experiments/retrieval/four_dataset_medium_mig_01/logs/citation__legal-1800-o150__sentence-transformers-paraphrase-multilingual-mpnet-base-v2__hybrid-title-k3-c200-l035-t030-s025-a060.jsonl,0.9133333333333333
four_dataset_medium_mig_01,citation,legal-2500-o250,legal,2500,250,sentence-transformers/paraphrase-multilingual-mpnet-base-v2,hybrid-title-k5-c250-l040-t035-s025-a060,hybrid,5,250,0.4,0.25,0.6,0.35,30,1.0,1.0,1.0,0.0,0.8666666666666667,0.9333333333333335,2.0,experiments/retrieval/four_dataset_medium_mig_01/logs/citation__legal-2500-o250__sentence-transformers-paraphrase-multilingual-mpnet-base-v2__hybrid-title-k5-c250-l040-t035-s025-a060.jsonl,0.8666666666666666
